episode,reward,steps,epsilon,loss
539,56.8956401348114,62,0.05,
540,30.6207315325737,35,0.05,
541,45.3181072473526,50,0.05,
542,63.6869832277298,69,0.05,
543,22.636750400066376,27,0.05,
544,24.59371769428253,29,0.05,
545,20.20055902004242,25,0.05,
546,14.238785922527313,19,0.05,
547,87.36854428052902,93,0.05,
548,22.13489282131195,27,0.05,
549,18.26566368341446,23,0.05,
550,16.239631474018097,21,0.05,
551,52.91914689540863,58,0.05,
552,26.37903094291687,31,0.05,
553,16.448837518692017,21,0.05,
554,31.568314015865326,36,0.05,
555,20.64054661989212,25,0.05,
556,33.516622483730316,38,0.05,
557,31.523196935653687,36,0.05,
558,16.2464599609375,21,0.05,
559,53.156462013721466,58,0.05,
560,44.371990501880646,49,0.05,
561,29.51786369085312,34,0.05,
562,41.3267257809639,46,0.05,
563,49.328648149967194,54,0.05,
564,17.416091322898865,22,0.05,
565,26.329909205436707,31,0.05,
566,13.393404424190521,18,0.05,
567,66.69811981916428,72,0.05,
568,49.27594465017319,54,0.05,
569,29.573074638843536,34,0.05,
570,17.15961116552353,22,0.05,
571,40.34782373905182,45,0.05,
572,31.374336421489716,36,0.05,
573,16.253957509994507,21,0.05,
574,17.538972556591034,22,0.05,
575,17.210148453712463,22,0.05,
576,22.548158049583435,27,0.05,
577,32.51887375116348,37,0.05,
578,30.511535942554474,35,0.05,
579,20.254153549671173,25,0.05,
580,17.219505548477173,22,0.05,
581,26.446933686733246,31,0.05,
582,30.630623161792755,35,0.05,
583,63.43196511268616,70,0.05,
584,25.633209943771362,30,0.05,
585,27.37983137369156,32,0.05,
586,54.06537318229675,59,0.05,
587,17.295790374279022,22,0.05,
588,44.349506080150604,49,0.05,
589,52.71324944496155,59,0.05,
590,40.42509651184082,45,0.05,
591,55.12666231393814,60,0.05,
592,102.06617826223373,108,0.05,
593,14.510291576385498,19,0.05,
594,31.691898107528687,37,0.05,
595,34.60390245914459,39,0.05,
596,17.190897166728973,22,0.05,
597,102.13273978233337,108,0.05,
598,67.69050008058548,73,0.05,
599,17.36689931154251,22,0.05,
600,26.368358075618744,31,0.05,
601,62.37153798341751,68,0.05,
602,37.451887369155884,42,0.05,
603,32.53438150882721,37,0.05,
604,22.4373477101326,27,0.05,
605,30.318029403686523,35,0.05,
606,16.441277861595154,21,0.05,
607,16.342084050178528,21,0.05,
608,48.286313354969025,53,0.05,
609,44.37322020530701,49,0.05,
610,17.53218448162079,22,0.05,
611,40.37955588102341,45,0.05,
612,34.47687786817551,39,0.05,
613,53.10212981700897,58,0.05,
614,22.5275017619133,27,0.05,
615,42.31898146867752,48,0.05,
616,18.381458342075348,23,0.05,
617,20.329866468906403,25,0.05,
618,35.51655715703964,40,0.05,
619,40.51987928152084,45,0.05,
620,20.326853096485138,25,0.05,
621,24.43957394361496,29,0.05,
622,22.311581671237946,27,0.05,
623,15.39724737405777,20,0.05,
624,67.88071948289871,73,0.05,
625,16.327448666095734,21,0.05,
626,16.51642256975174,21,0.05,
627,31.662580847740173,36,0.05,
628,17.294859528541565,22,0.05,
629,71.76365715265274,77,0.05,
630,17.194262742996216,22,0.05,
631,16.29189497232437,21,0.05,
632,18.675063967704773,23,0.05,
633,27.548059403896332,32,0.05,
634,53.152806639671326,58,0.05,
635,34.452119410037994,39,0.05,
636,18.427368760108948,23,0.05,
637,19.41892099380493,24,0.05,
638,43.428461134433746,48,0.05,
639,17.20015859603882,22,0.05,
640,68.87143611907959,74,0.05,
641,36.5782453417778,41,0.05,
642,20.311399519443512,25,0.05,
643,23.217530012130737,28,0.05,
644,23.203134179115295,28,0.05,
645,35.52078127861023,40,0.05,
646,64.93816190958023,70,0.05,
647,20.327920377254486,25,0.05,
648,71.00845623016357,77,0.05,
649,16.53430461883545,21,0.05,
650,18.100812315940857,23,0.05,
651,18.26205724477768,23,0.05,
652,15.307033836841583,20,0.05,
653,22.48264503479004,27,0.05,
654,80.80781477689743,86,0.05,
655,36.35297334194183,41,0.05,
656,23.362936556339264,28,0.05,
657,46.114195585250854,51,0.05,
658,32.62725359201431,37,0.05,
659,30.584824085235596,35,0.05,
660,48.18318825960159,53,0.05,
661,41.4506641626358,46,0.05,
662,44.3357418179512,49,0.05,
663,46.25338798761368,51,0.05,
664,16.32030963897705,21,0.05,
665,25.387766540050507,30,0.05,
666,57.96280246973038,63,0.05,
667,41.383137226104736,46,0.05,
668,12.43674522638321,17,0.05,
669,17.075055301189423,22,0.05,
670,15.350182950496674,20,0.05,
671,48.160607755184174,53,0.05,
672,21.57053017616272,26,0.05,
673,27.557600677013397,32,0.05,
674,24.649273335933685,29,0.05,
675,24.456484138965607,29,0.05,
676,14.27213704586029,19,0.05,
677,15.254408478736877,20,0.05,
678,68.66981166601181,74,0.05,
679,19.392216682434082,24,0.05,
680,33.551862955093384,38,0.05,
681,80.27144587039948,86,0.05,
682,22.393669188022614,27,0.05,
683,36.36257743835449,41,0.05,
684,40.469507694244385,45,0.05,
685,58.06835323572159,63,0.05,
686,46.32123351097107,51,0.05,
687,29.336931943893433,34,0.05,
688,35.51454299688339,40,0.05,
689,11.564030587673187,16,0.05,
690,43.42862218618393,48,0.05,
691,29.693693578243256,34,0.05,
692,25.32612282037735,30,0.05,
693,19.214609622955322,24,0.05,
694,21.62246346473694,26,0.05,
695,48.18868136405945,53,0.05,
696,38.498800575733185,43,0.05,
697,55.04594558477402,60,0.05,
698,56.91161924600601,62,0.05,
699,15.548520684242249,20,0.05,
700,26.403387129306793,31,0.05,
701,25.447653234004974,30,0.05,
702,19.992707192897797,25,0.05,
703,32.554879784584045,37,0.05,
704,24.574295699596405,29,0.05,
705,29.1501242518425,34,0.05,
706,29.519060909748077,34,0.05,
707,37.4110592007637,42,0.05,
708,32.304219365119934,37,0.05,
709,24.35900467634201,29,0.05,
710,19.612035989761353,24,0.05,
711,27.457241773605347,32,0.05,
712,18.39496821165085,23,0.05,
713,32.60665363073349,37,0.05,
714,35.46745264530182,40,0.05,
715,33.55139982700348,38,0.05,
716,12.49280869960785,17,0.05,
717,38.350020468235016,43,0.05,
718,36.46564209461212,41,0.05,
719,27.368470013141632,32,0.05,
720,25.38943523168564,30,0.05,
721,32.60493779182434,37,0.05,
722,28.51107746362686,33,0.05,
723,15.551647186279297,20,0.05,
724,30.42741173505783,35,0.05,
725,15.412258744239807,20,0.05,
726,49.21444582939148,54,0.05,
727,43.38384026288986,48,0.05,
728,18.194157540798187,23,0.05,
729,20.587900280952454,25,0.05,
730,53.15854424238205,58,0.05,
731,28.715512454509735,33,0.05,
732,37.51115757226944,42,0.05,
733,22.22040218114853,27,0.05,
734,15.210680425167084,20,0.05,
735,58.86845248937607,64,0.05,
736,18.321064829826355,23,0.05,
737,52.083490550518036,57,0.05,
738,37.45502543449402,42,0.05,
739,23.295838534832,28,0.05,
740,19.515471935272217,24,0.05,
741,31.46154111623764,36,0.05,
